candidate_id,year,tier,url,filename,http_status,content_type,file_size,sha256,error,notes
2019_tier1_prepp_shift1,2019,tier1,https://cdn-images.prepp.in/public/image/1c729eca123e38b7a49ba5bc672685cb.pdf,2019_tier1_prepp_shift1.pdf,200,application/pdf,3352732,9c76dc8c3763c6febbb506407327efa9af03f3cf9a6b60c5361696cba980e3c8,,"all the questions are rendered correctly , the correct answers are in green color"
2019_tier2_prepp_english,2019,tier2_paper1,https://cdn-images.prepp.in/public/image/SSC_CGL_English_Tier_II_Paper_2019__3d86aa9c9f31064f397a219c9c1d9329.pdf,2019_tier2_prepp_english.pdf,200,application/pdf,1748056,234d78e14faa64ac882c2b0a3c06a1b27627a7f75a28ff54a4e79db665ce3549,,"all the questions are rendered correctly , the correct answers are in green color"
2019_tier2_prepp_quant,2019,tier2_paper1,https://cdn-images.prepp.in/public/image/SSC_CGL_2019_TIER_2_NOVEMBER_15_2020_SHIFT_1__c18b66d136a5c8d6316ea5c036c30b87.pdf,2019_tier2_prepp_quant.pdf,200,application/pdf,2625660,b32de560f342dc935b99e8e8a7d18fe601b3d73687f87330cd050c7874d16152,,"all the questions are rendered correctly , the correct answers are in green color, the questions are also mathematics so extraction could be a bit difficult because of the equations "
2020_tier1_prepp_shift1,2020,tier1,https://cdn-images.prepp.in/public/image/f154ffde8037864c52d42e547e886258.pdf,2020_tier1_prepp_shift1.pdf,200,application/pdf,2292451,670c39250e2cacd7ad0d06b44553fd06b77219712bbfaabf7f207a91173f0991,,"all the questions are rendered correctly , the correct answers are in green color, diagrams extraction could be a bit difficult"
2021_tier1_prepp_shift1,2021,tier1,https://cdn-images.prepp.in/public/image/SSC_CGL_2021_Tier_1_Shift_1_English_Question_Paper_and_Answer_Key_PDF_Apr_11_2022_1_44_a041005c72e86dc571daf908af7f45b2.pdf,2021_tier1_prepp_shift1.pdf,200,application/pdf,2516403,8fd31c565c1159609c3555f3a05ea10001683dc3191b1a46e55cd8a66a413264,,no answer keys ib the pdf
2021_tier2_prepp_english,2021,tier2_paper1,https://cdn-images.prepp.in/public/image/SSC_CGL_2021_Tier_II_English_8_Aug_2022_d1e9e1351ee87dfa7f29d32df56a00f1.pdf,2021_tier2_prepp_english.pdf,200,application/pdf,2408519,d9948c043d1f2f387cf858ad4bba2b2641d9ca0fe071474e9196cc2879c7f709,,"all the questions are rendered correctly , the correct answers are in green color"
2022_tier1_prepp_shift1,2022,tier1,https://cdn-images.prepp.in/public/image/0f90e69f5442c4671dd82906d5ee36e0.pdf,2022_tier1_prepp_shift1.pdf,200,application/pdf,3191354,4c5f079911c842a29d9c0e7a0d7bd339931198cf4e30fc1f982ce634d8251c06,,"all the questions are rendered correctly , the correct answers are in green color"
2022_tier2_prepp_paper1,2022,tier2_paper1,https://cdn-images.prepp.in/public/image/2nd_March_English_dc191db4d9c5b557affc36665e8f549f.pdf,2022_tier2_prepp_paper1.pdf,200,application/pdf,1803448,0b0b38400afbf1dabfb86ac436425d8e253d1d8939bd116f851baa481959030a,,"all the questions are rendered correctly , the correct answers are in green color"
2023_tier1_prepp_shift1,2023,tier1,https://cdn-images.prepp.in/public/image/SSC_CGL_July_14_Shift_1_0fcbfcb87b5c32678d38fc8592d8751f.pdf,2023_tier1_prepp_shift1.pdf,200,application/pdf,985346,c0dd897b1d8e4b27a69533697aa529c84a4a95ae49367a387b03f20c68c3faff,,"all the questions are rendered correctly , the correct answers are in green color"
2023_tier2_prepp_paper1,2023,tier2_paper1,https://cdn-images.prepp.in/public/image/SSC_CGL_Tier_2_Oct_26_2023_Shift_1_Question_Paper_with_Answers_a7b5f3fda97b11660f9d32d722db5e7e.pdf,2023_tier2_prepp_paper1.pdf,200,application/pdf,3161857,5a766b2d736e348751c5a418545516084a34f801010602baf3ebaf16259b1a19,,"all the questions are rendered correctly , the correct answers are in green color"
2024_tier1_prepp_shift1,2024,tier1,https://cdn-images.prepp.in/public/image/SSC_CGL_2024_Tier_1_Shift_1_Question_Paper_with_Answer_Key_PDF_Sept_9_2024_1_44_988bb30196ade189a7ab6b24132f7714.pdf,2024_tier1_prepp_shift1.pdf,200,application/pdf,2449528,5bc5acaf51d4815ac24080e7e199d2ade0ab8a1bc5228399e5dc3fd9ed56db6f,,"all the questions are rendered correctly , the correct answers are in green color answer keys are not in here"
2024_tier2_prepp_paper1,2024,tier2_paper1,https://cdn-images.prepp.in/public/image/SSC_CGL_2024_Tier_2_Paper_1_Question_Paper_with_Answer_Key_PDF_Jan_18_2025_1_72_2e9e40708703f8e835b81f14e080c753.pdf,2024_tier2_prepp_paper1.pdf,200,application/pdf,2214040,e653afe52032f4899105ca3016ebe39d21f25b0e777cba6edfd55e73b276794e,,"all the questions are rendered correctly , the correct answers are in green color answer keys are not in here"
2024_tier1_kd_all_shifts,2024,tier1,https://kdjobupdates.in/wp-content/uploads/2024/10/SSC-CGL-PRE-2024-AnswerKey-All-36-Shifts-English.pdf,2024_tier1_kd_all_shifts.pdf,403,text/html,0,,HTTPError: 403 Client Error: Forbidden for url: https://kdjobupdates.in/wp-content/uploads/2024/10/SSC-CGL-PRE-2024-AnswerKey-All-36-Shifts-English.pdf,
2024_tier1_appx_answer_key,2024,tier1,https://appxcontent.kaxa.in/notes/2024-11-29-0.44200023711047964.pdf,2024_tier1_appx_answer_key.pdf,200,application/pdf,1262719,e38be8a72523238a6d146f7db526011c4e324537c0c295235812e9078dea13e4,,"the answer key is in the 10th page but only for  SSC CGL 2024 TIER-1 
(Number Classification) "
2021_tier1_sscportal_shift1_response_sheet,2021,tier1,https://sscportal.in/sites/default/files/ssc-cgl-tier-1-paper-2021-held-on-11-april-2022-shift-1-english-medium.pdf,2021_tier1_sscportal_shift1_response_sheet.pdf,200,application/pdf,3495463,c82bfff4423a775790ef993446d049a61172c45f1c87b14aac878c6a1d71a0c7,,"all the questions are rendered correctly , the correct answers are in green color"
2024_tier1_sscportal_sep09_shift1_response_sheet,2024,tier1,https://sscportal.in/sites/default/files/ssc-cgl-tier-1-paper-2024-sep-09-shift-1.pdf,2024_tier1_sscportal_sep09_shift1_response_sheet.pdf,200,application/pdf,2454483,aadc937f2ecbc36e6381fe829eb80662d3875a87488ee203e69471db3f2cd1c0,,"all the questions are rendered correctly , the correct answers are in green color"
2024_tier2_sscportal_jan18_response_sheet,2024,tier2_paper1,https://sscportal.in/sites/default/files/ssc-cgl-tier-2-paper-2024-held-on-18-january-2025.pdf,2024_tier2_sscportal_jan18_response_sheet.pdf,200,application/pdf,3770515,55f5d8d8e55d07708a28a378c106c99995749ff0ce3632509c021a5e03e2006e,,"all the questions are rendered correctly , the correct answers are in green color"
2024_tier2_sscportal_jan19_response_sheet,2024,tier2_paper1,https://sscportal.in/sites/default/files/ssc-cgl-tier-2-paper-2024-held-on-19-january-2025.pdf,2024_tier2_sscportal_jan19_response_sheet.pdf,200,application/pdf,4729222,096bbbfb615fa605863750ba20fcda6fc79314d4d13c3f36f109b3ffe046e4b7,,"all the questions are rendered correctly , the correct answers are in green color but the question book is a tier 2 paper 2 statistics"
2024_tier2_sscportal_jan20_response_sheet,2024,tier2_paper1,https://sscportal.in/sites/default/files/ssc-cgl-tier-2-paper-2024-held-on-20-january-2025.pdf,2024_tier2_sscportal_jan20_response_sheet.pdf,200,application/pdf,3934011,c3a4052e1234ebace0f88660899e625c006d2879446fa979ea90d788f87b7b00,,"all the questions are rendered correctly , the correct answers are in green color"
2020_tier2_kdcampus_answer_key,2020,tier2_paper1,https://kdcampus.live/uploaded/content_data/CGLE_Tier-II_2019____29-01-2022_20220805044113.pdf,2020_tier2_kdcampus_answer_key.pdf,200,application/pdf,243077,4419e23fd5aa9ccd175c423599c6e7a5a9d4f4203f87d32db3f7b517319a0033,,the answer key is in the 34th page of the pdf ssc tier 2 english and comprehension paper
2020_tier2_vault_quant_previous_year,2020,tier2_paper1,https://vault.onedayexams.com/english_file_uploads/1747140805_SSC-CGL-2020-Tier-II-Quant-Previous-Year.pdf,2020_tier2_vault_quant_previous_year.pdf,403,text/html; charset=UTF-8,0,,HTTPError: 403 Client Error: Forbidden for url: https://vault.onedayexams.com/english_file_uploads/1747140805_SSC-CGL-2020-Tier-II-Quant-Previous-Year.pdf,
